2014-11-28 16:02:42.7014 *********************************************************
2014-11-28 16:02:42.7170 * VersionOne Data Migration Log
2014-11-28 16:02:42.7326 * 11/28/2014 4:02:42 PM
2014-11-28 16:02:42.7326 *********************************************************
2014-11-28 16:02:42.7326 
2014-11-28 16:02:42.7326 Initializing configurations.
2014-11-28 16:02:42.9822 Verifying connections.
2014-11-28 16:02:56.3760 -> Connection to staging database "V1Staging" verified.
2014-11-28 16:03:17.7852 -> Connection to V1 target instance "http://localhost/AllyProduction" verified.
2014-11-28 16:03:17.7852 -> V1 target instance version: 14.3.2.6314.
2014-11-28 16:03:18.0504 
2014-11-28 16:03:18.0504 *** IMPORTING:
2014-11-28 16:03:18.2688 Importing conversations.
2014-11-28 16:04:02.3242 Name is  and newAssetOId is 
2014-11-28 16:04:02.4958 Name is Defect:11046 and newAssetOId is 
2014-11-28 16:04:03.5098 Name is Defect:11046 and newAssetOId is 
2014-11-28 16:04:04.6798 Name is Defect:11046 and newAssetOId is 
2014-11-28 16:04:04.8514 Name is Defect:11065 and newAssetOId is 
2014-11-28 16:04:05.0230 Name is Defect:11065 and newAssetOId is 
2014-11-28 16:04:05.1946 Name is Defect:11073 and newAssetOId is 
2014-11-28 16:04:05.3662 Name is Defect:11073 and newAssetOId is 
2014-11-28 16:04:05.5378 Name is Defect:11091 and newAssetOId is 
2014-11-28 16:04:06.1150 Name is Defect:11091 and newAssetOId is 
2014-11-28 16:04:07.7530 Name is Defect:11091 and newAssetOId is 
2014-11-28 16:04:07.9246 Name is Defect:11099 and newAssetOId is 
2014-11-28 16:04:08.0962 Name is Defect:11099 and newAssetOId is 
2014-11-28 16:04:08.2678 Name is Defect:11099 and newAssetOId is 
2014-11-28 16:04:08.4394 Name is Story:11611 and newAssetOId is 
2014-11-28 16:04:08.6110 Name is Story:13442 and newAssetOId is 
2014-11-28 16:04:09.4846 Name is Scope:1040 and newAssetOId is 
2014-11-28 16:04:10.9666 Name is Story:1231 and newAssetOId is 
2014-11-28 16:04:11.1850 Name is Story:1231 and newAssetOId is 
2014-11-28 16:04:11.3566 Name is Story:13427 and newAssetOId is 
2014-11-28 16:04:11.5282 Name is Defect:14177 and newAssetOId is 
2014-11-28 16:04:11.6998 Name is Story:1231 and newAssetOId is 
2014-11-28 16:04:11.8714 Name is Story:14209 and newAssetOId is 
2014-11-28 16:04:12.6670 Name is Task:1311 and newAssetOId is 
2014-11-28 16:04:14.1958 Name is Task:1312 and newAssetOId is 
2014-11-28 16:04:14.3986 Name is Task:1311 and newAssetOId is 
2014-11-28 16:04:14.5702 Name is Story:14486 and newAssetOId is 
2014-11-28 16:04:14.7418 Name is Story:14982 and newAssetOId is 
2014-11-28 16:04:14.9134 Name is Story:14983 and newAssetOId is 
2014-11-28 16:04:15.0850 Name is Story:14717 and newAssetOId is 
2014-11-28 16:04:15.8222 Name is Story:15182 and newAssetOId is 
2014-11-28 16:04:17.2574 Name is  and newAssetOId is 
2014-11-28 16:04:17.4290 Name is  and newAssetOId is 
2014-11-28 16:04:17.6006 Name is  and newAssetOId is 
2014-11-28 16:04:17.7722 Name is Story:15337 and newAssetOId is 
2014-11-28 16:04:17.9438 Name is Story:15338 and newAssetOId is 
2014-11-28 16:04:18.1154 Name is Story:15338 and newAssetOId is 
2014-11-28 16:04:18.8174 Name is Story:15338 and newAssetOId is 
2014-11-28 16:04:20.2214 Name is Story:15338 and newAssetOId is 
2014-11-28 16:04:20.5802 Name is Story:15338 and newAssetOId is 
2014-11-28 16:04:20.7518 Name is Story:15338 and newAssetOId is 
2014-11-28 16:04:20.9234 Name is Story:15338 and newAssetOId is 
2014-11-28 16:04:21.0950 Name is Story:15337 and newAssetOId is 
2014-11-28 16:04:21.2666 Name is Story:15337 and newAssetOId is 
2014-11-28 16:04:21.9842 Name is Story:15335 and newAssetOId is 
2014-11-28 16:04:23.5130 Name is Story:15335 and newAssetOId is 
2014-11-28 16:04:23.6846 Name is Story:15338 and newAssetOId is 
2014-11-28 16:04:23.8562 Name is Story:15337 and newAssetOId is 
2014-11-28 16:04:24.0278 Name is Story:15335 and newAssetOId is 
2014-11-28 16:04:24.1994 Name is  and newAssetOId is 
2014-11-28 16:04:24.3866 Name is  and newAssetOId is 
2014-11-28 16:04:25.3226 Name is  and newAssetOId is 
2014-11-28 16:04:26.5550 Name is  and newAssetOId is 
2014-11-28 16:04:26.7266 Name is  and newAssetOId is 
